¿¸«•¿œ¿⁄,ITEM_CD,¡¶«∞ƒ⁄µÂ/∏Ì  ƒ™, ºˆ  ∑Æ ,∆«∏≈¥‹∞°, ∆«∏≈¥Î±› ,
20210423,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 8,590 ",503.2," 4,322,480 ",
20210504,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 7,770 ",503.2," 3,909,860 ",
20210510,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,990 ",511.2," 1,528,480 ",
20210512,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,030 ",503.2," 1,524,690 ",
20210517,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,090 ",503.2," 1,554,880 ",
20210524,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 3,020 ",503.2," 1,519,660 ",
20210527,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,000 ",511.2," 1,533,600 ",
20210528,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,010 ",503.2," 3,024,230 ",
20210609,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,220 ",511.2," 1,134,860 ",
20210609,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 6,340 ",503.2," 3,190,280 ",
20210618,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,230 ",511.2," 1,139,970 ",
20210618,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,230 ",503.2," 2,128,530 ",
20210629,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,680 ",511.2," 858,810 ",
20210629,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,150 ",503.2," 2,088,280 ",
20210705,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 2,210 ",511.2," 1,129,750 ",
20210705,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 4,000 ",503.2," 2,012,800 ",
20210712,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 3,010 ",511.2," 1,538,710 ",
20210719,20313912,µø√Ê«œ√  ¡•µ∑S(MB)," 1,140 ",511.2," 582,760 ",
20210719,20412112,µø√Ê«œ√  ¿∞º∫µ∑S(MB)," 5,310 ",503.2," 2,671,990 ",
,,," 2,203,610 ",," 999,189,690 ",
