전표일자,ITEM_CD,제품코드/명  칭, 수  량 ,판매단가, 판매대금 ,
20170103,20412112,동충하초 육성돈S(MB)," 3,050 ",441.6," 1,346,880 ",
20170104,20313912,동충하초 젖돈S(MB)," 7,080 ",465.2," 3,293,610 ",
20170106,20412112,동충하초 육성돈S(MB)," 7,280 ",441.6," 3,214,840 ",
20170109,20412112,동충하초 육성돈S(MB)," 3,240 ",441.6," 1,430,780 ",
20170111,20313912,동충하초 젖돈S(MB)," 6,480 ",465.2," 3,014,490 ",
20170111,20412112,동충하초 육성돈S(MB)," 7,320 ",441.6," 3,232,510 ",
20170116,20412112,동충하초 육성돈S(MB)," 3,050 ",441.6," 1,346,880 ",
20170119,20313912,동충하초 젖돈S(MB)," 7,130 ",465.2," 3,316,870 ",
20170119,20412112,동충하초 육성돈S(MB)," 6,360 ",441.6," 2,808,570 ",
20170124,20510312,동충하초 비육돈S(MB)," 6,090 ",426," 2,594,340 ",
20170126,20313912,동충하초 젖돈S(MB)," 6,190 ",465.2," 2,879,580 ",
20170126,20510312,동충하초 비육돈S(MB)," 4,140 ",426," 1,763,640 ",
20170201,20313912,동충하초 젖돈S(MB)," 7,000 ",465.2," 3,256,400 ",
20170201,20510312,동충하초 비육돈S(MB)," 7,780 ",426," 3,314,280 ",
20170206,20912612,동충하초 임신돈S(MB)," 5,040 ",432.8," 2,181,310 ",
20170208,20313912,동충하초 젖돈S(MB)," 6,950 ",465.2," 3,233,140 ",
20170208,20412112,동충하초 육성돈S(MB)," 7,250 ",441.6," 3,201,600 ",
20170210,20412112,동충하초 육성돈S(MB)," 3,240 ",441.6," 1,430,780 ",
20170215,20313912,동충하초 젖돈S(MB)," 7,050 ",465.2," 3,279,660 ",
20170215,20412112,동충하초 육성돈S(MB)," 7,750 ",441.6," 3,422,400 ",
20170220,20412112,동충하초 육성돈S(MB)," 3,890 ",441.6," 1,717,820 ",
20170220,20912612,동충하초 임신돈S(MB)," 5,100 ",432.8," 2,207,280 ",
20170222,20313912,동충하초 젖돈S(MB)," 7,070 ",465.2," 3,288,960 ",
20170222,20412112,동충하초 육성돈S(MB)," 7,260 ",441.6," 3,206,010 ",
20170228,20412112,동충하초 육성돈S(MB)," 3,280 ",441.6," 1,448,440 ",
20170228,20313912,동충하초 젖돈S(MB)," 3,540 ",465.2," 1,646,800 ",
20170302,20313912,동충하초 젖돈S(MB)," 3,340 ",465.2," 1,553,760 ",
20170302,20412112,동충하초 육성돈S(MB)," 7,300 ",441.6," 3,223,680 ",
20170303,20912612,동충하초 임신돈S(MB)," 4,910 ",432.8," 2,125,040 ",
